id,date,airport_code,airport_name,airport_province,location,region,latitude,longitude,incident_type,reportable_incident,incident_country,serious_incident,damage,total_injured,total_uninjured,aircraft_id,aircraft_type,aircraft_model,aircraft_make,organization,operator_type,operation_type,destination_airport_code,destination_airport_name,departure_airport_code,departure_airport_name
125429,2006-04-25 16:10:00,YQR,Regina Intl,SASKATCHEWAN,Regina,CENTRAL,50.43333333,104.66666667,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,0,1,43962,AEROPLANE,180J,CESSNA,PERSONAL CARRIER / NON-ORGANIZATION,PRIVATE,PLEASURE/TRAVEL,YQR,Regina Intl,YXH,MEDICINE HAT
125414,2006-04-22 20:45:00,YUL,Pierre Elliott Trudeau Intl,QUEBEC,Montreal,QUEBEC,45.46666667,73.73333333,SMOKE OR FIRE (iii),INCIDENT REPORTABLE,CANADA,No,NONE,0,18,87418,AEROPLANE,737-200,BOEING,FIRST AIR,COMMERCIAL,AIR TRANSPORT,YUL,Pierre Elliott Trudeau Intl,YVP,KUUJJUAQ
125409,2006-04-19 14:48:00,YYZ,Lester B. Pearson Intl,ONTARIO,Toronto,ONTARIO,43.68333333,79.63333333,J. ROC / LOS,INCIDENT REPORTABLE,CANADA,No,NONE,0,117,108905,AEROPLANE,DHC-8 (DASH 8),DE HAVILLAND,JAZZ AVIATION LP,COMMERCIAL,AIR TRANSPORT,YQG,WINDSOR,YYZ,Lester B. Pearson Intl
125388,2006-04-18 11:53:00,SY4,ST-DONAT,QUEBEC,ST-DONAT,QUEBEC,46.3,74.18333333,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,2,0,35720,AEROPLANE,172H,CESSNA,GESTION CLAUDE D'AMOUR INC.,PRIVATE,PLEASURE/TRAVEL,YQB,Jean Lesage Intl,SY4,ST-DONAT
125386,2006-04-13 10:20:00,YEG,Edmonton Intl,ALBERTA,Edmonton,WESTERN,53.31666667,113.58333333,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,110,93792,AEROPLANE,A320-200,AIRBUS,AIR CANADA,COMMERCIAL,AIR TRANSPORT,YEG,Edmonton Intl,YYZ,Lester B. Pearson Intl
125378,2006-04-16 13:50:00,AS7,LADYSMITH,BRITISH COLUMBIA,LADYSMITH,PACIFIC,49.01666667,123.81666667,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,0,1,45689,AEROPLANE,LA-4-200,LAKE AIRCRAFT DIVISION OF CONSOLIDATED AERONAUTICS,PERSONAL CARRIER / NON-ORGANIZATION,PRIVATE,PLEASURE/TRAVEL,AS7,LADYSMITH,AS7,LADYSMITH
125376,2006-04-16 11:45:00,AJ4,ANAHIM LAKE,BRITISH COLUMBIA,ANAHIM LAKE,PACIFIC,52.45,125.3,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,0,4,44438,AEROPLANE,FBA-2C,FOUND BROTHERS,PERSONAL CARRIER / NON-ORGANIZATION,PRIVATE,PLEASURE/TRAVEL,AJ4,ANAHIM LAKE,AJ4,ANAHIM LAKE
125365,2006-04-16 09:30:00,JZ4,SHELLBROOK,SASKATCHEWAN,SHELLBROOK,CENTRAL,53.23333333,106.36666667,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,1,0,108881,AEROPLANE,UNKNOWN,UNKNOWN,PERSONAL CARRIER / NON-ORGANIZATION,PRIVATE,PLEASURE/TRAVEL,JZ4,SHELLBROOK,JZ4,SHELLBROOK
125364,2006-04-16 11:30:00,NU4,BELLEVILLE,ONTARIO,BELLEVILLE,ONTARIO,44.2,77.31666667,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,0,2,108880,AEROPLANE,172N,CESSNA,PERSONAL CARRIER / NON-ORGANIZATION,PRIVATE,PLEASURE/TRAVEL,NU4,BELLEVILLE,YXR,EARLTON (TIMISKAMING REGIONAL)
125348,2006-02-28 18:58:00,YUL,Pierre Elliott Trudeau Intl,QUEBEC,Montreal,QUEBEC,45.46666667,73.73333333,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,17,108860,AEROPLANE,CL-600-2B19 (CRJ),CANADAIR,JAZZ AVIATION LP,COMMERCIAL,AIR TRANSPORT,YUL,Pierre Elliott Trudeau Intl,YQM,Greater Moncton Romeo Lebalnc Intl
125346,2006-04-09 22:00:00,YYZ,Lester B. Pearson Intl,ONTARIO,Toronto,ONTARIO,43.68333333,79.63333333,UNABLE TO PERFORM (vi),INCIDENT REPORTABLE,CANADA,No,NONE,0,94,90484,AEROPLANE,A319-100,AIRBUS,AIR CANADA,COMMERCIAL,AIR TRANSPORT,YYZ,Lester B. Pearson Intl,YYC,Calgary Intl
125344,2006-04-09 10:48:00,YGK,KINGSTON,ONTARIO,KINGSTON,ONTARIO,44.23333333,76.6,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,0,1,108856,BASIC ULTRALIGHT,HUMMELBIRD,BOB FORSYTHE,PERSONAL CARRIER / NON-ORGANIZATION,PRIVATE,PLEASURE/TRAVEL,YGK,KINGSTON,YGK,KINGSTON
125341,2006-04-11 17:05:00,KK7,STEINBACH (SOUTH),MANITOBA,STEINBACH,CENTRAL,49.5,96.7,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,0,2,108854,AEROPLANE,D95A,BEECH,HARV'S AIR SERVICE,COMMERCIAL,TRAINING,KK7,STEINBACH (SOUTH),KK7,STEINBACH (SOUTH)
125340,2006-04-11 14:55:00,YQF,RED DEER REGIONAL,ALBERTA,RED DEER,WESTERN,52.18333333,113.9,ENGINE (i),INCIDENT REPORTABLE,CANADA,Yes,NONE,0,3,106706,AEROPLANE,L-188 (ELECTRA),LOCKHEED,AIR SPRAY (1967),COMMERCIAL,TRAINING,YQF,RED DEER REGIONAL,YQF,RED DEER REGIONAL
